10 acdbdd05eefbdcb6a8b7afe2cb420a9125427d38 log1 sha256:755f76751bf804e43949babdd5e1078fd8a6a9cc44ae0f720d1a56f5cf385ac8 /etc/intel/cloudsecurity/data/nonce 664563  23577 1920 0 0 0 0 2020-01-18T23:59:26.060
10 0571978e5c85278f08688e53776f981a47c2540f log1 sha256:d9d597b1a9964d41e13676db9023c42fd3d3bceeddd5b79ce5daad37e5d1d866 /etc/intel/cloudsecurity/data/aikquote 664569  23579 1 0 0 0 0 2020-01-18T23:59:26.088
10 cd38f613a6ec684ca901ca34f17cf0e8d589c9b6 log1 sha256:ed77d879eadb6db9aa2fdd1f8a3ba69676c437aa2a5b9bd4e4755e59b578726b /etc/intel/cloudsecurity/data/nonce 664563  23585 1920 0 0 0 0 2020-01-18T23:59:57.321
10 1be29f1a849a78527badf7b65e6a17736e529a6e log1 sha256:98169e1688174771c265bb30acc568462e68367de153480e1350377b15899746 /etc/intel/cloudsecurity/data/aikquote 664569  23587 1 0 0 0 0 2020-01-18T23:59:57.353
10 69a4efd1f4234f5fdb4ed90e086f00ba14432810 log1 sha256:081a7029d5ef7ef48b4338de00925448cd71059d5469bf27fc63bb09ad89a886 /root/ima_archive/data/last.dat 1180958  23592 23591 0 0 0 0 2020-01-19T00:00:02.064
10 eb0468d9053d45259647343d8eeeb6cd19f85b43 log1 sha256:d0da4240b9489e9765a162feb1c880bf853e16222d487d4267f2ba9f3b4516b6 /etc/intel/cloudsecurity/data/nonce 664563  23606 1920 0 0 0 0 2020-01-19T00:00:28.528
10 20b6d6c84024fd9122cf2234af1afbe7bf96dfa9 log1 sha256:3802891f714b5d5a9e70970748f91f9d3f981bf38b21f5541c4023235c545173 /etc/intel/cloudsecurity/data/aikquote 664569  23608 1 0 0 0 0 2020-01-19T00:00:28.561
10 c402bb5a5357dd777e93f424007338f760c884e0 log1 sha256:4e0297cc5068e1a7c165ae338cdc4c772921410b1edc7a0926e8edfa2babc070 /etc/intel/cloudsecurity/data/nonce 664563  23614 1920 0 0 0 0 2020-01-19T00:00:59.754
10 96a5fdf541195b418c06771eff7670b508a95669 log1 sha256:7251a5ee297897332002aa479018405104cbd5062a006d47853cea6f21ed1a5e /etc/intel/cloudsecurity/data/aikquote 664569  23616 1 0 0 0 0 2020-01-19T00:00:59.782
10 f3f8756270183854f696d15057bdc1cdd23a01f2 log1 sha256:283fe45f265da4372a15450e056f68e5382252dd3019e729073cd6785fcb3770 /opt/certbot/certbot-auto 793761  23624 23622 0 0 0 0 2020-01-19T00:01:01.472
10 abe854808606ddb1620686065b97b91a5dd530ee log1 sha256:8135463b5a74a4a0777f4946545770814d5c929a6661b2041aee78e8458146f1 /usr/bin/id 526523  21971 21968 0 0 0 0 2020-01-18T00:01:01.811
10 6ac9810d0915006c472f74bce600ee344a2448e4 log1 sha256:f38ba505627ee52b52c5dd43a0e2b408a389c7163c00530018d336b47359c779 /root/ima_archive/data/last.dat 1180958  23623 23621 0 0 0 0 2020-01-19T00:01:01.610
10 1af60dfff00875b462798a6307d3c2d9a45aa74e log1 sha256:8988dac37905f610e4989356f82b46a084bd6d1651876fb7f35372db4fe6ad05 /usr/bin/python2.7 525925  23631 23630 0 0 0 0 2020-01-19T00:01:02.154
10 d4a22c534822f2352050a0bb6104af9150dd358d log1 sha256:0a076b5c38b20c20a26f621d9c3dda5026d0b010827fc9da5b802dc3ea425e91 /usr/lib/python2.7/site.py 527881  23636 23635 0 0 0 0 2020-01-19T00:01:02.373
10 c2c0bc76f0868f75bed88f1d4d30c9081ce8cf12 log1 sha256:1e852fbaa566ce90b665d59b298661235a53e9736e8f0d79af8a2f6879ccc875 /usr/lib/python2.7/site.pyc 531176  23636 23635 0 0 0 0 2020-01-19T00:01:02.374
10 1e94729b884a9f7cb055660a088d461ecaadec91 log1 sha256:b1700c50502f613946f4bc6afaf7abb3a9844b29996184dc5781a01f87036b43 /usr/lib/python2.7/os.py 527852  23636 23635 0 0 0 0 2020-01-19T00:01:02.389
